data,model,sum_epts,calibrate,include_clinical,accuracy,accuracy_std,f1,f1_std,log_loss,log_loss_std,geometric_mean,geometric_mean_std,roc_auc,roc_auc_std,aupr,aupr_std,sensitivity,sensitivity_std,specificity,specificity_std,brier,brier_std,mcc,mcc_std,
mri,logistic,,,,0.606,0.110,0.159,0.091,0.539,0.076,0.533,0.220,0.628,0.123,0.172,0.117,0.463,0.254,0.749,0.120,0.179,0.033,0.115,0.117,
mri,logistic,,,--include_clinical,0.616,0.103,0.157,0.081,0.537,0.080,0.565,0.174,0.626,0.121,0.149,0.091,0.526,0.256,0.707,0.145,0.179,0.034,0.120,0.104,
mri,logistic,,--calibrate,,0.605,0.100,0.151,0.086,0.588,0.112,0.529,0.218,0.628,0.123,0.172,0.117,0.517,0.263,0.692,0.181,0.192,0.042,0.109,0.106,
mri,logistic,,--calibrate,--include_clinical,0.602,0.098,0.148,0.077,0.588,0.121,0.549,0.169,0.626,0.121,0.149,0.091,0.564,0.251,0.641,0.193,0.189,0.044,0.105,0.100,
mri,logistic,--sum_epts,,,0.606,0.110,0.159,0.091,0.539,0.076,0.533,0.220,0.628,0.123,0.172,0.117,0.463,0.254,0.749,0.120,0.179,0.033,0.115,0.117,
mri,logistic,--sum_epts,,--include_clinical,0.616,0.103,0.157,0.081,0.537,0.080,0.565,0.174,0.626,0.121,0.149,0.091,0.526,0.256,0.707,0.145,0.179,0.034,0.120,0.104,
mri,logistic,--sum_epts,--calibrate,,0.605,0.100,0.151,0.086,0.588,0.112,0.529,0.218,0.628,0.123,0.172,0.117,0.517,0.263,0.692,0.181,0.192,0.042,0.109,0.106,
mri,logistic,--sum_epts,--calibrate,--include_clinical,0.602,0.098,0.148,0.077,0.588,0.121,0.549,0.169,0.626,0.121,0.149,0.091,0.564,0.251,0.641,0.193,0.189,0.044,0.105,0.100,
mri,random_forest,,,,0.593,0.115,0.151,0.113,0.562,0.053,0.473,0.256,0.608,0.127,0.141,0.108,0.380,0.270,0.806,0.113,0.189,0.024,0.106,0.133,
mri,random_forest,,,--include_clinical,0.536,0.106,0.091,0.099,0.422,0.073,0.286,0.280,0.589,0.119,0.105,0.060,0.192,0.239,0.880,0.076,0.130,0.030,0.039,0.122,
mri,random_forest,,--calibrate,,0.580,0.105,0.138,0.093,0.588,0.093,0.467,0.241,0.608,0.127,0.141,0.108,0.427,0.276,0.734,0.206,0.201,0.039,0.089,0.112,
mri,random_forest,,--calibrate,--include_clinical,0.562,0.112,0.111,0.091,0.467,0.115,0.397,0.275,0.589,0.119,0.105,0.060,0.322,0.287,0.802,0.125,0.145,0.041,0.061,0.119,
mri,random_forest,--sum_epts,,,0.593,0.115,0.151,0.113,0.562,0.053,0.473,0.256,0.608,0.127,0.141,0.108,0.380,0.270,0.806,0.113,0.189,0.024,0.106,0.133,
mri,random_forest,--sum_epts,,--include_clinical,0.536,0.106,0.091,0.099,0.422,0.073,0.286,0.280,0.589,0.119,0.105,0.060,0.192,0.239,0.880,0.076,0.130,0.030,0.039,0.122,
mri,random_forest,--sum_epts,--calibrate,,0.580,0.105,0.138,0.093,0.588,0.093,0.467,0.241,0.608,0.127,0.141,0.108,0.427,0.276,0.734,0.206,0.201,0.039,0.089,0.112,
mri,random_forest,--sum_epts,--calibrate,--include_clinical,0.562,0.112,0.111,0.091,0.467,0.115,0.397,0.275,0.589,0.119,0.105,0.060,0.322,0.287,0.802,0.125,0.145,0.041,0.061,0.119,
mri,lgbm,,,,0.548,0.107,0.119,0.128,0.597,0.024,0.322,0.273,0.596,0.128,0.128,0.089,0.209,0.232,0.887,0.074,0.203,0.012,0.067,0.145,
mri,lgbm,,,--include_clinical,0.507,0.065,0.058,0.102,0.795,0.297,0.140,0.225,0.566,0.113,0.102,0.062,0.077,0.140,0.937,0.047,0.092,0.031,0.011,0.107,
mri,lgbm,,--calibrate,,0.588,0.105,0.148,0.086,0.443,0.114,0.501,0.201,0.596,0.128,0.128,0.089,0.405,0.260,0.772,0.135,0.133,0.034,0.100,0.112,
mri,lgbm,,--calibrate,--include_clinical,0.509,0.055,0.078,0.087,0.333,0.086,0.102,0.202,0.566,0.113,0.102,0.062,0.405,0.451,0.613,0.450,0.088,0.028,0.013,0.090,
mri,lgbm,--sum_epts,,,0.548,0.107,0.119,0.128,0.597,0.024,0.322,0.273,0.596,0.128,0.128,0.089,0.209,0.232,0.887,0.074,0.203,0.012,0.067,0.145,
mri,lgbm,--sum_epts,,--include_clinical,0.507,0.065,0.058,0.102,0.795,0.297,0.140,0.225,0.566,0.113,0.102,0.062,0.077,0.140,0.937,0.047,0.092,0.031,0.011,0.107,
mri,lgbm,--sum_epts,--calibrate,,0.588,0.105,0.148,0.086,0.443,0.114,0.501,0.201,0.596,0.128,0.128,0.089,0.405,0.260,0.772,0.135,0.133,0.034,0.100,0.112,
mri,lgbm,--sum_epts,--calibrate,--include_clinical,0.509,0.055,0.078,0.087,0.333,0.086,0.102,0.202,0.566,0.113,0.102,0.062,0.405,0.451,0.613,0.450,0.088,0.028,0.013,0.090,
mri,balanced_random_forest,,,,0.552,0.125,0.119,0.129,0.410,0.066,0.312,0.295,0.602,0.128,0.134,0.104,0.217,0.271,0.887,0.076,0.125,0.027,0.074,0.159,
mri,balanced_random_forest,,,--include_clinical,0.509,0.072,0.059,0.086,0.355,0.079,0.172,0.241,0.584,0.120,0.101,0.053,0.105,0.179,0.913,0.067,0.101,0.025,0.008,0.094,
mri,balanced_random_forest,,--calibrate,,0.565,0.107,0.124,0.087,0.450,0.113,0.433,0.240,0.602,0.128,0.134,0.104,0.355,0.284,0.775,0.156,0.138,0.037,0.072,0.113,
